rank,appId,name,allTimePeak,peakAt,archiveTimestamp,status,archivedUrl,sourceUrl,error
1,730,Counter-Strike 2,1862531,12 April 2025,20260727143721,ok,https://web.archive.org/web/20260727143721id_/https://steamdb.info/app/730/charts/,https://steamdb.info/app/730/charts/,
2,578080,PUBG: BATTLEGROUNDS,3257248,13 January 2018,20260713080347,ok,https://web.archive.org/web/20260713080347id_/https://steamdb.info/app/578080/charts/,https://steamdb.info/app/578080/charts/,
3,570,Dota 2,1295114,6 March 2016,20260719050513,ok,https://web.archive.org/web/20260719050513id_/https://steamdb.info/app/570/charts/,https://steamdb.info/app/570/charts/,
4,431960,Wallpaper Engine,150375,30 August 2023,20260714195505,ok,https://web.archive.org/web/20260714195505id_/https://steamdb.info/app/431960/charts/,https://steamdb.info/app/431960/charts/,
5,1172470,Apex Legends,624473,18 February 2023,20260709194437,ok,https://web.archive.org/web/20260709194437id_/https://steamdb.info/app/1172470/charts/,https://steamdb.info/app/1172470/charts/,
6,2868840,Slay the Spire 2,574638,8 March 2026,20260721181014,ok,https://web.archive.org/web/20260721181014id_/https://steamdb.info/app/2868840/charts/,https://steamdb.info/app/2868840/charts/,
7,3241660,R.E.P.O.,271571,23 March 2025,20260715122217,ok,https://web.archive.org/web/20260715122217id_/https://steamdb.info/app/3241660/charts/,https://steamdb.info/app/3241660/charts/,
8,271590,Grand Theft Auto V Legacy,364548,19 April 2015,20260714123842,ok,https://web.archive.org/web/20260714123842id_/https://steamdb.info/app/271590/charts/,https://steamdb.info/app/271590/charts/,
9,2676230,FiveM,221685,3 May 2026,20260715123020,ok,https://web.archive.org/web/20260715123020id_/https://steamdb.info/app/2676230/charts/,https://steamdb.info/app/2676230/charts/,
10,322170,Geometry Dash,109993,7 March 2026,20260715222738,ok,https://web.archive.org/web/20260715222738id_/https://steamdb.info/app/322170/charts/,https://steamdb.info/app/322170/charts/,
11,236390,War Thunder,125430,3 April 2026,20260720010622,ok,https://web.archive.org/web/20260720010622id_/https://steamdb.info/app/236390/charts/,https://steamdb.info/app/236390/charts/,
12,359550,Tom Clancy's Rainbow Six Siege,201933,17 March 2024,20260720185010,ok,https://web.archive.org/web/20260720185010id_/https://steamdb.info/app/359550/charts/,https://steamdb.info/app/359550/charts/,
13,1808500,ARC Raiders,481966,16 November 2025,20260729000852,ok,https://web.archive.org/web/20260729000852id_/https://steamdb.info/app/1808500/charts/,https://steamdb.info/app/1808500/charts/,
14,2507950,Delta Force,247028,26 September 2025,20260707182021,ok,https://web.archive.org/web/20260707182021id_/https://steamdb.info/app/2507950/charts/,https://steamdb.info/app/2507950/charts/,
15,2357570,Overwatch®,165651,10 February 2026,20260719234538,ok,https://web.archive.org/web/20260719234538id_/https://steamdb.info/app/2357570/charts/,https://steamdb.info/app/2357570/charts/,
16,2767030,Marvel Rivals,644269,11 January 2025,20260723201354,ok,https://web.archive.org/web/20260723201354id_/https://steamdb.info/app/2767030/charts/,https://steamdb.info/app/2767030/charts/,
17,252490,Rust,262284,2 January 2025,20260704004448,ok,https://web.archive.org/web/20260704004448id_/https://steamdb.info/app/252490/charts/,https://steamdb.info/app/252490/charts/,
18,381210,Dead by Daylight,170073,25 June 2026,20260716184152,ok,https://web.archive.org/web/20260716184152id_/https://steamdb.info/app/381210/charts/,https://steamdb.info/app/381210/charts/,
19,1422450,Deadlock,171490,2 September 2024,20260729133721,ok,https://web.archive.org/web/20260729133721id_/https://steamdb.info/app/1422450/charts/,https://steamdb.info/app/1422450/charts/,
20,230410,Warframe,189837,17 July 2021,20260712131157,ok,https://web.archive.org/web/20260712131157id_/https://steamdb.info/app/230410/charts/,https://steamdb.info/app/230410/charts/,
21,3405690,EA SPORTS FC™ 26,150089,5 July 2026,20260722211022,ok,https://web.archive.org/web/20260722211022id_/https://steamdb.info/app/3405690/charts/,https://steamdb.info/app/3405690/charts/,
22,413150,Stardew Valley,236614,24 March 2024,20260708082059,ok,https://web.archive.org/web/20260708082059id_/https://steamdb.info/app/413150/charts/,https://steamdb.info/app/413150/charts/,
23,2807960,Battlefield™ 6,747440,10 October 2025,20260728111040,ok,https://web.archive.org/web/20260728111040id_/https://steamdb.info/app/2807960/charts/,https://steamdb.info/app/2807960/charts/,
24,553850,HELLDIVERS™ 2,458709,24 February 2024,20260722204548,ok,https://web.archive.org/web/20260722204548id_/https://steamdb.info/app/553850/charts/,https://steamdb.info/app/553850/charts/,
25,1973530,Limbus Company,157444,9 July 2026,20260730021023,ok,https://web.archive.org/web/20260730021023id_/https://steamdb.info/app/1973530/charts/,https://steamdb.info/app/1973530/charts/,
26,3240220,Grand Theft Auto V Enhanced,187059,4 March 2025,20260716225654,ok,https://web.archive.org/web/20260716225654id_/https://steamdb.info/app/3240220/charts/,https://steamdb.info/app/3240220/charts/,
27,105600,Terraria,489886,16 May 2020,20260723122906,ok,https://web.archive.org/web/20260723122906id_/https://steamdb.info/app/105600/charts/,https://steamdb.info/app/105600/charts/,
28,440,Team Fortress 2,253997,13 July 2023,20260716032846,ok,https://web.archive.org/web/20260716032846id_/https://steamdb.info/app/440/charts/,https://steamdb.info/app/440/charts/,
29,3321460,Crimson Desert,276261,29 March 2026,20260720192949,ok,https://web.archive.org/web/20260720192949id_/https://steamdb.info/app/3321460/charts/,https://steamdb.info/app/3321460/charts/,
30,3041230,Windrose,222134,19 April 2026,20260721233450,ok,https://web.archive.org/web/20260721233450id_/https://steamdb.info/app/3041230/charts/,https://steamdb.info/app/3041230/charts/,
31,227300,Euro Truck Simulator 2,73887,22 February 2026,20260719111105,ok,https://web.archive.org/web/20260719111105id_/https://steamdb.info/app/227300/charts/,https://steamdb.info/app/227300/charts/,
32,1086940,Baldur's Gate 3,875343,13 August 2023,20260719171640,ok,https://web.archive.org/web/20260719171640id_/https://steamdb.info/app/1086940/charts/,https://steamdb.info/app/1086940/charts/,
33,438100,VRChat,79593,15 February 2026,20260712221409,ok,https://web.archive.org/web/20260712221409id_/https://steamdb.info/app/438100/charts/,https://steamdb.info/app/438100/charts/,
34,550,Left 4 Dead 2,162399,26 December 2013,20260725211141,ok,https://web.archive.org/web/20260725211141id_/https://steamdb.info/app/550/charts/,https://steamdb.info/app/550/charts/,
35,394360,Hearts of Iron IV,93196,16 November 2024,20260719111105,ok,https://web.archive.org/web/20260719111105id_/https://steamdb.info/app/394360/charts/,https://steamdb.info/app/394360/charts/,
36,1203220,NARAKA: BLADEPOINT,385770,3 July 2024,20260702102120,ok,https://web.archive.org/web/20260702102120id_/https://steamdb.info/app/1203220/charts/,https://steamdb.info/app/1203220/charts/,
37,1938090,Call of Duty®,491670,20 November 2022,20260719171559,ok,https://web.archive.org/web/20260719171559id_/https://steamdb.info/app/1938090/charts/,https://steamdb.info/app/1938090/charts/,
38,1245620,ELDEN RING,953426,5 March 2022,20260721232911,ok,https://web.archive.org/web/20260721232911id_/https://steamdb.info/app/1245620/charts/,https://steamdb.info/app/1245620/charts/,
39,284160,BeamNG.drive,47424,29 July 2026,20260729222745,ok,https://web.archive.org/web/20260729222745id_/https://steamdb.info/app/284160/charts/,https://steamdb.info/app/284160/charts/,
40,322330,Don't Starve Together,122662,21 June 2026,20260626045004,ok,https://web.archive.org/web/20260626045004id_/https://steamdb.info/app/322330/charts/,https://steamdb.info/app/322330/charts/,
41,252950,Rocket League,147632,27 September 2020,20260517195118,ok,https://web.archive.org/web/20260517195118id_/https://steamdb.info/app/252950/charts/,https://steamdb.info/app/252950/charts/,
42,1091500,Cyberpunk 2077,1054388,10 December 2020,20260728162207,ok,https://web.archive.org/web/20260728162207id_/https://steamdb.info/app/1091500/charts/,https://steamdb.info/app/1091500/charts/,
43,3892270,Gamble With Your Friends,42848,9 May 2026,20260709143855,ok,https://web.archive.org/web/20260709143855id_/https://steamdb.info/app/3892270/charts/,https://steamdb.info/app/3892270/charts/,
44,3513350,Wuthering Waves,49497,8 June 2026,20260608231327,ok,https://web.archive.org/web/20260608231327id_/https://steamdb.info/app/3513350/charts/,https://steamdb.info/app/3513350/charts/,
45,3472040,NBA 2K26,52863,25 May 2026,20260722211110,ok,https://web.archive.org/web/20260722211110id_/https://steamdb.info/app/3472040/charts/,https://steamdb.info/app/3472040/charts/,
46,250900,The Binding of Isaac: Rebirth,156156,7 July 2026,20260716025648,ok,https://web.archive.org/web/20260716025648id_/https://steamdb.info/app/250900/charts/,https://steamdb.info/app/250900/charts/,
47,3124540,Far Far West,47256,3 May 2026,20260606233230,ok,https://web.archive.org/web/20260606233230id_/https://steamdb.info/app/3124540/charts/,https://steamdb.info/app/3124540/charts/,
48,1174180,Red Dead Redemption 2,99993,2 February 2025,20260719234623,ok,https://web.archive.org/web/20260719234623id_/https://steamdb.info/app/1174180/charts/,https://steamdb.info/app/1174180/charts/,
49,4000,Garry's Mod,73863,2 January 2015,20260709102827,ok,https://web.archive.org/web/20260709102827id_/https://steamdb.info/app/4000/charts/,https://steamdb.info/app/4000/charts/,
50,3105440,Heroes of Might and Magic: Olden Era,60885,3 May 2026,20260708210627,ok,https://web.archive.org/web/20260708210627id_/https://steamdb.info/app/3105440/charts/,https://steamdb.info/app/3105440/charts/,
